Asset Tag,Serial Number,Model Name,Asset Type
LT-009101,CN8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009127,2C8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009148,6Q8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009128,3P8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-010067,4GCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009103,1P8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009803,3KCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009877,6TCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009139,1C8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-007126,1XFW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-010021,7JCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010089,GCCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009051,C77HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-007414,GPG4VG3,Latitude 5320,Laptop
LT-006814,JNZGV93,Latitude 5320,Laptop
LT-006730,2DZGV93,Latitude 5320 13inch i5 16GB,Laptop
LT-010038,HJCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010051,9FCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009096,DB8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009750,7NCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010839-L,2NXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009113,DP8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-007321,1XDW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-009034,G87HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009787,2KCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009083,HP8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009886,GLCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009947,4SCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009032,777HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-006800,7RZGV93,Latitude 5320 13inch i5 16GB,Laptop
ITSG010837-L,DNXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-007147,9XDW9G3,Latitude 5320 13inch i5 8GB 256GB,Laptop
LT-009045,287HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009799,6KCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009808,BKCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
